,id,valor,condominio,iptu,local,tamamho,quartos,vagas_garagem,banheiros
0,1,1450,R$ 150,Null,"Olinda, Uberaba",52²,2,1,2
1,2,3990,R$ 867,214,"Rua Padre Carvalho, Pinheiros",40²,1,1,1
2,3,2600,R$ 1.100,1422,"Avenida Abílio Augusto Távora, Centro",79²,3,1,2
3,4,2477,R$ 417,134,"Petrópolis, Porto Alegre",70²,1,Null,1
4,5,3000,R$ 430,320,"Jardim Maria José, Votorantim",72²,2,2,2
5,6,2223,R$ 300,100,"Jardim Gibertoni, São Carlos",80²,2,2,2
6,7,1300,R$ 250,63,"São Pedro, Osasco",45²,2,1,1
7,8,1350,R$ 250,Null,"Loteamento Santa Marta, Ribeirão Preto",45²,2,1,1
8,9,1300,R$ 1,1,"Rua dos Castanheiros, Jardim Renascença",50²,1,1,1
9,10,1900,R$ 344,Null,"Rua Jornalista Ruy Martins Meixedo, Jardim Dona Elvira",74²,2,1,2
10,11,2900,Null,Null,"Rua Japecanga, Prado",85²,3,2,3
11,12,2100,R$ 520,120,"Rua Helvétia, Santa Cecília",35²,1,1,1
12,13,3200,Null,Null,"Avenida Doutor Moura Ribeiro, Marapé",63²,2,1,2
13,14,1000,R$ 381,89,"Vila Pureza, São Carlos",55²,2,1,2
14,15,1300,R$ 371,82,"Rua do Murará, Paupina",64²,3,1,1
15,16,1200,Null,Null,"Vila Juliana, Botucatu",50²,2,1,1
16,17,1900,R$ 529,75,"São José, Barretos",73²,2,2,2
17,18,3300,R$ 404,102,"Consolação, São Paulo",50²,1,Null,2
18,19,1207,R$ 440,Null,"Jardim Contorno, Bauru",69²,3,1,1
19,20,1300,R$ 380,Null,"Lageado, Cotia",48²,2,1,1
20,21,1700,R$ 350,98,"Santana, Porto Alegre",49²,1,1,1
21,22,1850,R$ 600,Null,"Rua General Bagnuolo, Vila Prudente",83²,2,1,2
22,23,2000,Null,Null,"Avenida João Davino, Mangabeiras",93²,3,2,1
23,24,1000,R$ 400,50,"Vila Independência, Piracicaba",90²,2,2,2
24,25,1600,R$ 700,900,"Estrada Adhemar Bebiano, Del Castilho",52²,2,Null,2
25,26,2000,Null,Null,"Travessa Professor Luiz Anselmo da Fonseca, Vila Laura",77²,3,1,2
26,27,3500,R$ 420,120,"Rua Abolição, Vila Sanches",100²,3,2,3
27,28,2650,Null,Null,"Rua Itajú do Colônia, Jardim Aeroporto",72²,2,2,2
28,29,1331,R$ 215,54,"Mogi Moderno, Mogi das Cruzes",60²,2,1,2
29,30,1950,R$ 230,106,"Parque Morumbi, Votorantim",54²,2,Null,1
30,31,4300,R$ 900,150,"Parque Residencial Aquarius, São José dos Campos",85²,2,2,1
31,32,1500,R$ 377,50,"Jardim Santa Paula, São Carlos",39²,1,1,1
32,33,1650,R$ 414,162,"Rua Joaquim Lapas Veiga, Jardim D'abril",72²,2,1,1
33,34,650,R$ 250,Null,"Jardim do Salso, Porto Alegre",44²,1,Null,1
34,35,3700,R$ 549,260,"Rua Marechal Barbacena, Vila Regente Feijó",52²,1,1,1
35,36,990,R$ 300,58,"Parque Taquaral, Piracicaba",73²,3,1,1
36,37,1500,R$ 591,54,"Matatu, Salvador",54²,2,1,2
37,38,1900,R$ 1,1,"Rua Nova Cidade I, Canabrava",55²,2,1,2
38,39,700,R$ 195,26,"São Geraldo, Porto Alegre",50²,2,Null,1
39,40,2200,Null,Null,"Parque Santos Dumont, Taboão da Serra",70²,3,1,2
40,41,2000,R$ 200,84,"Rua Cipriano Barata, Ipiranga",50²,1,Null,1
41,42,1750,R$ 200,96,"Vila Santa Candida, São José do Rio Preto",110²,3,3,2
42,43,4500,R$ 1.150,320,"Rua Sousa Reis, Vila Indiana",110²,3,2,2
43,44,4000,R$ 787,429,"Rua Rio Trobogi, Piatã",116²,3,2,3
44,45,1600,R$ 299,70,"Atibaia Belvedere, Atibaia",67²,2,1,2
45,46,2800,Null,Null,"Rua Itamacás, Vila Tupi",80²,2,1,1
46,47,1150,R$ 250,100,"Vila Imbuhy, Cachoeirinha",65²,2,1,1
47,48,3600,R$ 869,286,"Rua Gomes de Carvalho, Vila Olímpia",70²,2,1,2
48,49,1000,R$ 280,Null,"Jardim Bianco, São José do Rio Preto",44²,2,1,1
49,50,2334,R$ 900,300,"Parque Faber Castell I, São Carlos",146²,3,2,4
50,51,650,Null,Null,"Nova América, Nova Iguaçu",54²,1,1,1
51,52,1500,Null,Null,"Rua São Francisco, Vila Cintra",46²,2,1,1
52,53,1350,R$ 170,Null,"Santo Antônio, Porto Alegre",48²,1,Null,1
53,54,2000,Null,Null,"Vila Santa Rosa, Jundiaí",54²,2,1,1
54,55,2990,R$ 290,90,"Avenida Santana, Jardim Maristela",70²,2,2,3
55,56,3100,R$ 670,Null,"Mossunguê, Curitiba",100²,3,2,3
56,57,7000,R$ 900,355,"Avenida Jandira, Moema",72²,2,2,2
57,58,3000,Null,Null,"Rua Padre Visconti, Embaré",70²,2,1,1
58,59,4100,R$ 767,260,"Vila Regente Feijó, São Paulo",55²,1,2,1
59,60,2500,R$ 470,20,"Vila Formosa, São Paulo",56²,2,1,1
60,61,2800,R$ 899,180,"Moema, São Paulo",50²,1,1,1
61,62,900,R$ 520,Null,"Jardim Paulista, Araçatuba",142²,3,2,1
62,63,1600,R$ 477,55,"Avenida Doutor Adhemar de Barros, Jardim São Dimas",45²,1,1,1
63,64,3000,R$ 750,150,"Rua Vicente Batalha, Costa Azul",94²,2,1,3
64,65,2000,R$ 300,50,"Jardim Ipe, Sorocaba",41²,2,1,1
65,66,2000,R$ 325,61,"Jardim Marilu, Carapicuíba",48²,2,2,1
66,67,1100,Null,Null,"Rua Atena, Jardim Vitória",50²,1,Null,1
67,68,850,R$ 270,27,"Parque dos Pinus, Ribeirão Preto",43²,2,1,1
68,69,2400,R$ 450,Null,"Rua Joaquim Cruz, Santo Antônio",70²,3,2,3
69,70,900,R$ 290,50,"JARDIM SOL NASCENTE II, Piracicaba",52²,2,2,1
70,71,2000,R$ 280,50,"Vila Boa Esperanca, São José do Rio Preto",55²,3,2,1
71,72,2000,R$ 550,Null,"Granjas Santa Terezinha, Taubaté",80²,3,2,2
72,73,1500,R$ 449,85,"Taboão, São Bernardo do Campo",50²,2,1,1
73,74,4215,R$ 500,100,"Jardim Aquarius, São José dos Campos",83²,2,2,2
74,75,2230,R$ 500,480,"São José, Caxias do Sul",178²,3,3,2
75,76,1500,R$ 200,Null,"Urussanguinha, Araranguá",58²,2,1,1
76,77,2000,Null,Null,"Rua José Manoel de Oliveira, Jardim Bela Vista",48²,2,1,1
77,78,1900,R$ 1.100,225,"Jardim Sao Carlos, Sumaré",212²,3,2,3
78,79,6800,R$ 950,250,"Jardim Paulista, São Paulo",53²,1,1,1
79,80,800,R$ 490,35,"Avenida Coronel Fernando Ferreira Leite, Jardim Califórnia",42²,1,1,1
